cnpj,razao_social,nome_fantasia,registro_crea
00123001000123,AMAZÔNIA CONSTRUÇÕES E ENGENHARIA LTDA,AMAZÔNIA,61859
00123002000178,NORTE OBRAS E PROJETOS S.A.,NORTE,52240
00123003000112,SOLIMÕES EDIFICAÇÕES EIRELI,SOLIMÕES,35222
00123004000167,CONSTRUTORA MANAUARA LTDA,CONSTRUTORA,72310
00123005000101,RIO NEGRO ENGENHARIA CIVIL S.A.,RIO,50491
00123006000156,BASE SÓLIDA CONSTRUÇÕES LTDA,BASE,73104
00123007000190,ESTRUTURAR PROJETOS E OBRAS LTDA,ESTRUTURAR,77725
00123008000145,ALFA ENGENHARIA E CONSULTORIA LTDA,ALFA,19349
00123009000189,ENGETECH CONSTRUÇÕES E INCORPORAÇÕES S.A.,ENGETECH,85340
00123010000170,VÉRTICE OBRAS CIVIS EIRELI,VÉRTICE,50896
00123011000115,VERDE SUL AGRONOMIA E MEIO AMBIENTE LTDA,VERDE,33490
00123012000169,FLORESTA VIVA SOLUÇÕES AMBIENTAIS LTDA,FLORESTA,72497
00123013000103,ECONORTE CONSULTORIA AMBIENTAL S.A.,ECONORTE,59991
00123014000158,TERRA FÉRTIL AGRONEGÓCIOS LTDA,TERRA,94190
00123015000192,RAÍZES DA AMAZÔNIA AGROPECUÁRIA S.A.,RAÍZES,21483
00123016000147,SUSTENTARE ENGENHARIA AMBIENTAL LTDA,SUSTENTARE,63057
00123017000181,BIOMA CONSULTORIA FLORESTAL EIRELI,BIOMA,37914
00123018000136,AMAZONAS GEO E MEIO AMBIENTE LTDA,AMAZONAS,14499
00123019000170,AGRONORTE PLANEJAMENTO E EXECUÇÃO LTDA,AGRONORTE,38452
00123020000150,FLORA SERVIÇOS AGRONÔMICOS LTDA,FLORA,21876
00123021000104,ELETRONORTE INSTALAÇÕES INDUSTRIAIS LTDA,ELETRONORTE,66897
00123022000159,POTÊNCIA ENGENHARIA ELÉTRICA S.A.,POTÊNCIA,76303
00123023000193,MECÂNICA SOLUÇÕES INDUSTRIAIS LTDA,MECÂNICA,96428
00123024000148,VOLT SERVIÇOS ELETROTÉCNICOS EIRELI,VOLT,97774
00123025000182,INDÚSTRIA E COMÉRCIO DE MÁQUINAS AMAZONAS LTDA,INDÚSTRIA,24520
00123026000137,ENGMEC SOLUÇÕES EM CLIMATIZAÇÃO LTDA,ENGMEC,62867
00123027000171,CORRENTE CONTÍNUA ENGENHARIA LTDA,CORRENTE,64357
00123028000126,DINÂMICA MANUTENÇÃO INDUSTRIAL S.A.,DINÂMICA,86116
00123029000160,TECNOVOLT INSTALAÇÕES ELÉTRICAS LTDA,TECNOVOLT,24369
00123030000140,APEX AUTOMAÇÃO E ENGENHARIA LTDA,APEX,73903
00123031000195,GEOMAPEAR TOPOGRAFIA E GEODESIA LTDA,GEOMAPEAR,75605
00123032000149,SATÉLITE GEOPROCESSAMENTO S.A.,SATÉLITE,68254
00123033000183,TOPONORTE LEVANTAMENTOS TOPOGRÁFICOS LTDA,TOPONORTE,41708
00123034000138,PRISMA ENGENHARIA DE AGRIMENSURA EIRELI,PRISMA,98806
00123035000172,AZIMUTE CONSULTORIA E TOPOGRAFIA LTDA,AZIMUTE,73463
00123036000127,COORDENADA CERTA ENGENHARIA LTDA,COORDENADA,85659
00123037000161,TERRAGEO PROJETOS E CARTOGRAFIA LTDA,TERRAGEO,83106
00123038000116,MAPEAR SOLUÇÕES GEOGRÁFICAS LTDA,MAPEAR,58008
00123039000150,VETOR ENGENHARIA E TOPOGRAFIA S.A.,VETOR,62668
00123040000130,CARTONORTE SERVIÇOS DE MEDIÇÃO LTDA,CARTONORTE,60077
00123041000185,SEGURANÇA GLOBAL ENGENHARIA DO TRABALHO LTDA,SEGURANÇA,57720
00123042000130,PREVENIR SOLUÇÕES EM SEGURANÇA S.A.,PREVENIR,27106
00123043000174,INOVAR PROJETOS E CONSULTORIA LTDA,INOVAR,71223
00123044000129,MASTER PLANEJAMENTO E ENGENHARIA LTDA,MASTER,54915
00123045000163,ATIVA ENGENHARIA INTEGRADA EIRELI,ATIVA,64834
00123046000118,EXCELÊNCIA CONSULTORIA TÉCNICA LTDA,EXCELÊNCIA,41497
00123047000152,VISÃO PROJETOS ESTRUTURAIS S.A.,VISÃO,13658
00123048000107,NORTESUL CONSULTORIA EM ENGENHARIA LTDA,NORTESUL,91728
00123049000141,PLENA ASSESSORIA DE OBRAS LTDA,PLENA,60663
00123050000121,ALIANÇA PROJETOS E INSPEÇÕES LTDA,ALIANÇA,54842
00123051000176,TAPAJÓS CONSTRUTORA E INCORPORADORA S.A.,TAPAJÓS,31529
00123052000120,BARÉ ENGENHARIA DE ESTRUTURAS LTDA,BARÉ,41853
00123053000165,CUNHÃ PORANGA OBRAS ESPECIAIS LTDA,CUNHÃ,20803
00123054000110,CABOCLO CONSTRUÇÕES E EMPREENDIMENTOS EIRELI,CABOCLO,41232
00123055000154,TUCUMÃ PAVIMENTAÇÃO E OBRAS LTDA,TUCUMÃ,99714
00123056000109,VITÓRIA RÉGIA URBANISMO E ENGENHARIA S.A.,VITÓRIA,98648
00123057000143,GUARANÁ OBRAS E LOGÍSTICA LTDA,GUARANÁ,21047
00123058000198,SAMAÚMA PROJETOS DE FUNDAÇÃO LTDA,SAMAÚMA,32854
00123059000132,ARUANÃ INFRAESTRUTURA E OBRAS LTDA,ARUANÃ,73220
00123060000113,TAMBAQUI CONSTRUÇÕES CIVIS LTDA,TAMBAQUI,33981
00123061000168,HIDRONORTE SANEAMENTO E HIDRÁULICA LTDA,HIDRONORTE,42768
00123062000122,ÁGUAS CLARAS ENGENHARIA SANITÁRIA S.A.,ÁGUAS,42195
00123063000157,TERMONORTE CLIMATIZAÇÃO E REFRIGERAÇÃO LTDA,TERMONORTE,82140
00123064000102,ESTRUTURAÇO METALÚRGICA E ENGENHARIA LTDA,ESTRUTURAÇO,67022
