id,nome
1,Engenharia Civil
2,Engenharia Elétrica
3,Engenharia Mecânica
4,Agronomia
5,Engenharia Florestal
6,Engenharia Química
7,Engenharia de Minas
8,Engenharia de Produção
9,Engenharia de Segurança do Trabalho
10,Engenharia Ambiental
11,Engenharia de Computação
12,Engenharia de Telecomunicações
13,Engenharia Eletrônica
14,Engenharia de Alimentos
15,Engenharia de Petróleo
16,Engenharia de Materiais
17,Engenharia Metalúrgica
18,Engenharia Naval
19,Engenharia Aeronáutica
20,Engenharia Agrícola
21,Engenharia de Pesca
22,Geologia
23,Geografia
24,Meteorologia
25,Engenharia de Controle e Automação
