codigo,grupo,subgrupo,obra_servico,complementar,nivel1,nivel2,nivel3,nivel4,profundidade
TOS_1.1.1.1,Construção Civil,Edificações,de edificação,de alvenaria,1,1,1,1,4
TOS_1.1.1.2,Construção Civil,Edificações,de edificação,de madeira,1,1,1,2,4
TOS_1.1.1.3,Construção Civil,Edificações,de edificação,em sistema pré-fabricado,1,1,1,3,4
TOS_1.1.1.4,Construção Civil,Edificações,de edificação,em materiais mistos,1,1,1,4,4
TOS_1.1.1.5,Construção Civil,Edificações,de edificação,em outros materiais,1,1,1,5,4
TOS_1.1.2.1,Construção Civil,Edificações,de reforma de edificação,de alvenaria,1,1,2,1,4
TOS_1.1.2.2,Construção Civil,Edificações,de reforma de edificação,de madeira,1,1,2,2,4
TOS_1.1.2.3,Construção Civil,Edificações,de reforma de edificação,em sistema pré-fabricado,1,1,2,3,4
TOS_1.1.2.4,Construção Civil,Edificações,de reforma de edificação,em materiais mistos,1,1,2,4,4
TOS_1.1.2.5,Construção Civil,Edificações,de reforma de edificação,em outros materiais,1,1,2,5,4
TOS_1.1.3.1,Construção Civil,Edificações,de acessibilidade de edificação,para fins residenciais,1,1,3,1,4
TOS_1.1.3.2,Construção Civil,Edificações,de acessibilidade de edificação,para fins comerciais,1,1,3,2,4
TOS_1.1.3.3,Construção Civil,Edificações,de acessibilidade de edificação,para fins industriais,1,1,3,3,4
TOS_1.1.3.4,Construção Civil,Edificações,de acessibilidade de edificação,para fins diversos,1,1,3,4,4
TOS_1.1.4.1,Construção Civil,Edificações,de adequação para acessibilidade,de edificação para fins residenciais,1,1,4,1,4
TOS_1.1.4.2,Construção Civil,Edificações,de adequação para acessibilidade,de edificação para fins comerciais,1,1,4,2,4
TOS_1.1.4.3,Construção Civil,Edificações,de adequação para acessibilidade,de edificação para fins industriais,1,1,4,3,4
TOS_1.1.4.4,Construção Civil,Edificações,de adequação para acessibilidade,de edificação para fins diversos,1,1,4,4,4
TOS_1.1.5,Construção Civil,Edificações,de edificação provisória,,1,1,5,,3
TOS_1.1.6,Construção Civil,Edificações,de muro,,1,1,6,,3
TOS_1.1.7.1,Construção Civil,Edificações,de cercamento,por alambrado ou grades,1,1,7,1,4
TOS_1.1.8.1,Construção Civil,Edificações,de vedação,em alvenaria,1,1,8,1,4
TOS_1.1.8.2,Construção Civil,Edificações,de vedação,com drywall,1,1,8,2,4
TOS_1.1.8.3,Construção Civil,Edificações,de vedação,com outro material,1,1,8,3,4
TOS_1.1.9,Construção Civil,Edificações,de imóveis,,1,1,9,,3
TOS_1.2.1,Construção Civil,Materiais de Construção Civil,de ensaio,,1,2,1,,3
TOS_1.2.2,Construção Civil,Materiais de Construção Civil,de dosagem e mistura de concreto,,1,2,2,,3
TOS_1.2.3,Construção Civil,Materiais de Construção Civil,de aplicação de concreto,,1,2,3,,3
TOS_1.2.4,Construção Civil,Materiais de Construção Civil,de controle de qualidade na construção civil,,1,2,4,,3
TOS_1.2.5,Construção Civil,Materiais de Construção Civil,de impermeabilização aplicada à construção civil,,1,2,5,,3
TOS_1.2.6,Construção Civil,Materiais de Construção Civil,de aplicação de outros materiais,,1,2,6,,3
TOS_1.3.1,Construção Civil,Patologias,de patologia da construção,,1,3,1,,3
TOS_1.4.1,Construção Civil,Instalações Hidrossanitárias,de sistema de água potável,,1,4,1,,3
TOS_1.4.2,Construção Civil,Instalações Hidrossanitárias,de sistema de redes de águas pluviais,,1,4,2,,3
TOS_1.4.3,Construção Civil,Instalações Hidrossanitárias,de instalação de sistema de esgoto sanitário,,1,4,3,,3
TOS_1.4.4,Construção Civil,Instalações Hidrossanitárias,de ligação individual de rede de água,,1,4,4,,3
TOS_1.4.5,Construção Civil,Instalações Hidrossanitárias,de ligação individual de rede de esgoto,,1,4,5,,3
TOS_1.4.6,Construção Civil,Instalações Hidrossanitárias,de poço de infiltração,,1,4,6,,3
TOS_1.5.1,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de central de gás,,1,5,1,,3
TOS_1.5.2,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de tubulação de gás,,1,5,2,,3
TOS_1.5.3,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de localização de equipamento e rede de instalação de vapor,,1,5,3,,3
TOS_1.5.4,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de localização de equipamento e rede de instalação à vácuo,,1,5,4,,3
TOS_1.5.5,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de instalação da tubulação de vapor,,1,5,5,,3
TOS_1.5.6,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de ligação individual de rede de gás,,1,5,6,,3
TOS_1.5.7,Construção Civil,"Instalações de Gases, Vapores e à Vácuo",de instalação da tubulação de vácuo,,1,5,7,,3
TOS_1.6.1,Construção Civil,Instalações de Prevenção e Combate a Incêndio,de instalação de hidrantes,,1,6,1,,3
TOS_1.6.2,Construção Civil,Instalações de Prevenção e Combate a Incêndio,de instalação de sprinkler,,1,6,2,,3
TOS_1.6.3,Construção Civil,Instalações de Prevenção e Combate a Incêndio,de instalação hidráulica para prevenção e combate a incêndio,,1,6,3,,3
TOS_1.6.4,Construção Civil,Instalações de Prevenção e Combate a Incêndio,de localização de sprinkler,,1,6,4,,3
TOS_1.6.5,Construção Civil,Instalações de Prevenção e Combate a Incêndio,de sinalização de emergência em edificação,,1,6,5,,3
TOS_1.6.6,Construção Civil,Instalações de Prevenção e Combate a Incêndio,de prevenção e combate a incêndio e pânico,,1,6,6,,3
TOS_2.1.1,Estruturas,Estruturas de Concreto e Argamassa Armada,de estrutura de concreto armado,,2,1,1,,3
TOS_2.1.2,Estruturas,Estruturas de Concreto e Argamassa Armada,de estrutura de concreto protendido,,2,1,2,,3
TOS_2.1.3,Estruturas,Estruturas de Concreto e Argamassa Armada,de estrutura de argamassa armada,,2,1,3,,3
TOS_2.1.4,Estruturas,Estruturas de Concreto e Argamassa Armada,de estrutura de concreto ciclópico,,2,1,4,,3
TOS_2.1.5,Estruturas,Estruturas de Concreto e Argamassa Armada,de demolição de estruturas de concreto sem uso de explosivos,,2,1,5,,3
TOS_2.1.6,Estruturas,Estruturas de Concreto e Argamassa Armada,de reforço de estruturas em concreto,,2,1,6,,3
TOS_2.1.7,Estruturas,Estruturas de Concreto e Argamassa Armada,de reparo de estruturas em concreto,,2,1,7,,3
TOS_2.1.8,Estruturas,Estruturas de Concreto e Argamassa Armada,de ancoragem de estruturas,,2,1,8,,3
TOS_2.2.1.1,Estruturas,Estruturas Metálicas,de estrutura metálica,para edificação,2,2,1,1,4
TOS_2.2.1.2,Estruturas,Estruturas Metálicas,de estrutura metálica,para edificação provisória,2,2,1,2,4
TOS_2.2.1.3,Estruturas,Estruturas Metálicas,de estrutura metálica,para andaimes,2,2,1,3,4
TOS_2.2.1.4,Estruturas,Estruturas Metálicas,de estrutura metálica,para escoramentos,2,2,1,4,4
TOS_2.2.1.5,Estruturas,Estruturas Metálicas,de estrutura metálica,para palcos,2,2,1,5,4
TOS_2.2.1.6,Estruturas,Estruturas Metálicas,de estrutura metálica,para arquibancadas,2,2,1,6,4
TOS_2.2.1.7,Estruturas,Estruturas Metálicas,de estrutura metálica,para fins diversos,2,2,1,7,4
TOS_2.2.2.1,Estruturas,Estruturas Metálicas,de desmontagem de estrutura metálica,para edificação,2,2,2,1,4
TOS_2.2.2.2,Estruturas,Estruturas Metálicas,de desmontagem de estrutura metálica,para edificação provisória,2,2,2,2,4
TOS_2.2.2.3,Estruturas,Estruturas Metálicas,de desmontagem de estrutura metálica,para escoramentos,2,2,2,3,4
TOS_2.2.2.4,Estruturas,Estruturas Metálicas,de desmontagem de estrutura metálica,para palcos,2,2,2,4,4
TOS_2.2.2.5,Estruturas,Estruturas Metálicas,de desmontagem de estrutura metálica,para arquibancadas,2,2,2,5,4
TOS_2.2.3,Estruturas,Estruturas Metálicas,de reforço de estruturas metálicas,,2,2,3,,3
TOS_2.2.4,Estruturas,Estruturas Metálicas,de reparo de estruturas metálicas,,2,2,4,,3
TOS_2.3.1,Estruturas,Estruturas de Madeira,de estrutura de madeira,,2,3,1,,3
TOS_2.3.2,Estruturas,Estruturas de Madeira,de desmontagem/demolição de estrutura de madeira,,2,3,2,,3
TOS_2.3.3,Estruturas,Estruturas de Madeira,de reforço de estruturas em madeira,,2,3,3,,3
TOS_2.3.4,Estruturas,Estruturas de Madeira,de reparo de estruturas em madeira,,2,3,4,,3
TOS_2.4.1,Estruturas,Estruturas de Outros Materiais,de estrutura de outros materiais,,2,4,1,,3
TOS_2.4.2,Estruturas,Estruturas de Outros Materiais,de desmontagem de estrutura de outros materiais,,2,4,2,,3
TOS_2.5.1,Estruturas,Estruturas de Materiais Mistos,de estrutura de materiais mistos,,2,5,1,,3
TOS_2.5.2,Estruturas,Estruturas de Materiais Mistos,de reforço de estruturas mistas,,2,5,2,,3
TOS_2.5.3,Estruturas,Estruturas de Materiais Mistos,de reparo de estruturas mistas,,2,5,3,,3
TOS_2.6.1,Estruturas,Obras de Arte,de pontes,,2,6,1,,3
TOS_2.6.2,Estruturas,Obras de Arte,de viadutos,,2,6,2,,3
TOS_2.6.3,Estruturas,Obras de Arte,de passarelas,,2,6,3,,3
TOS_2.6.4,Estruturas,Obras de Arte,de túneis,,2,6,4,,3
TOS_2.6.5,Estruturas,Obras de Arte,de recuperação de pontes,,2,6,5,,3
TOS_2.7.1,Estruturas,Estruturas Especiais,de casca,,2,7,1,,3
TOS_2.7.2,Estruturas,Estruturas Especiais,de silo,,2,7,2,,3
TOS_2.7.3,Estruturas,Estruturas Especiais,de tensoestruturas,,2,7,3,,3
TOS_2.7.4,Estruturas,Estruturas Especiais,de elevados de concreto,,2,7,4,,3
TOS_2.7.5,Estruturas,Estruturas Especiais,de elevados mistos,,2,7,5,,3
TOS_2.7.6,Estruturas,Estruturas Especiais,de recuperação de estruturas especiais,,2,7,6,,3
TOS_2.8.1,Estruturas,Pré-Moldados e Pré-Fabricados,de estrutura de concreto pré-fabricado,,2,8,1,,3
TOS_2.8.2,Estruturas,Pré-Moldados e Pré-Fabricados,de pré-moldados de materiais cerâmicos,,2,8,2,,3
TOS_2.8.3,Estruturas,Pré-Moldados e Pré-Fabricados,de lajes pré-fabricadas,,2,8,3,,3
TOS_2.8.4,Estruturas,Pré-Moldados e Pré-Fabricados,de artefatos de cimento,,2,8,4,,3
TOS_2.8.5,Estruturas,Pré-Moldados e Pré-Fabricados,de artefatos de concreto,,2,8,5,,3
TOS_2.8.6,Estruturas,Pré-Moldados e Pré-Fabricados,de blocos de concreto,,2,8,6,,3
TOS_2.9.1.1,Estruturas,Fundações,de fundações superficiais,em alvenaria de pedra,2,9,1,1,4
TOS_2.9.1.2,Estruturas,Fundações,de fundações superficiais,em sapatas isoladas,2,9,1,2,4
TOS_2.9.1.3,Estruturas,Fundações,de fundações superficiais,em sapatas corridas,2,9,1,3,4
